發生時間,發生地點,死亡受傷人數,車種,經度,緯度
107年04月14日 23時52分15秒,臺南市麻豆區寮廍里市道171線口 / 臺南市麻豆區寮廍里市道171甲線,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小客車,120.276435,23.188769
107年04月15日 08時55分12秒,南投縣南投市育樂路97號西側,死亡1;受傷0,普通重型-機車;自用-小客車,120.691285,23.912226
107年04月15日 09時15分00秒,金門縣烈嶼鄉九井路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,118.250647,24.425945
107年04月15日 13時52分00秒,屏東縣九如鄉九如路一段與機場外環道路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.487934,22.707813
107年04月15日 19時10分00秒,嘉義市東區後庄里林森東路691弄前0.0公尺,死亡1;受傷0,腳踏自行車-慢車;計程車-小客車,120.480833,23.497468
107年04月15日 20時31分00秒,新北市三芝區臺2線道路前0.0公尺,死亡1;受傷0,普通重型-機車,121.488462,25.264386
107年04月16日 08時17分00秒,彰化縣田中鎮香山里山腳路2段 / 彰化縣田中鎮香山里山腳路2段,死亡1;受傷0,自用-小客車;行人-人,120.604100,23.846493
107年04月16日 10時00分00秒,臺北市萬華區西園路1段 / 臺北市萬華區和平西路3段,死亡1;受傷0,自用-小客車;行人-人,121.499224,25.035205
107年04月16日 12時50分00秒,新北市三峽區國道3號 51公里600.0公尺處北側向路肩,死亡1;受傷2,自用-小貨車(含客、貨兩用);乘客-人;乘客-人,121.348531,24.934654
107年04月16日 14時30分19秒,桃園市蘆竹區長興路東側 / 桃園市蘆竹區內新路,死亡1;受傷0,普通重型-機車;自用-大貨車,121.288698,25.070431
107年04月16日 16時39分00秒,屏東縣鹽埔鄉鹽南村建設街12-13號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);腳踏自行車-慢車,120.574090,22.752346
107年04月16日 17時46分13秒,桃園市大溪區仁和路2段548巷248號前0.0公尺東側,死亡1;受傷0,自用-小客車;普通重型-機車,121.263426,24.912795
107年04月16日 19時50分00秒,彰化縣芬園鄉茄荖村光華路 / 彰化縣芬園鄉茄荖村嘉東街,死亡1;受傷0,自用-小客車;行人-人;自用-小客車,120.649163,24.009270
107年04月17日 06時40分00秒,臺南市將軍區忠興里興洲高幹55右1電線桿旁路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.174658,23.202454
107年04月17日 16時49分00秒,嘉義縣水上鄉粗溪村中山路二段402號,死亡1;受傷1,普通重型-機車;普通重型-機車,120.398700,23.433877
107年04月18日 07時13分59秒,屏東縣新園鄉五房路898巷10-30號,死亡1;受傷1,普通重型-機車;普通重型-機車,120.438448,22.505511
107年04月18日 07時16分09秒,雲林縣斗六市科加二路西側 / 雲林縣斗六市科加路,死亡1;受傷0,普通重型-機車;自用-小客車,120.551063,23.738058
107年04月18日 21時42分00秒,新竹縣竹北市長青路一段193號,死亡1;受傷0,自用-小客車,120.956669,24.845964
107年04月19日 09時13分00秒,嘉義縣六腳鄉正義村台19線與嘉11線路口,死亡1;受傷1,腳踏自行車-慢車;自用-小客車;乘客-人,120.245635,23.477924
107年04月19日 09時20分00秒,臺東縣達仁鄉台9線 446公里300.0公尺處南側向內側,死亡1;受傷3,自用-小貨車(含客、貨兩用);普通重型-機車;租賃車-小客車;乘客-人;乘客-人;乘客-人,120.868567,22.279777
107年04月19日 11時23分00秒,臺北市北投區復興三路 / 臺北市北投區復興四路,死亡1;受傷0,自用-小客車;自用-小客車;自用-小客車,121.502936,25.144234
107年04月20日 00時36分00秒,彰化縣田尾鄉海豐村中正路3段 / 彰化縣田尾鄉海豐村新生路,死亡2;受傷0,自用-小貨車(含客、貨兩用);乘客-人,120.505966,23.864861
107年04月20日 06時19分00秒,臺南市安平區永華路2段口 / 臺南市安平區光州路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.159718,22.991553
107年04月20日 07時08分00秒,嘉義市西區福安里高鐵大道 / 嘉義市西區福安里中興路,死亡1;受傷0,遊覽車-大客車;普通重型-機車,120.428571,23.478228
107年04月20日 07時45分00秒,新北市中和區中正路 / 新北市中和區和城路,死亡1;受傷1,計程車-小客車;大型重型1(550C.C.以上)-機車,121.485902,24.994313
107年04月20日 08時38分09秒,屏東縣崁頂鄉中正路1-1號前0.0公尺,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,120.507400,22.509646
107年04月20日 16時51分00秒,新北市新莊區光明路前0.0公尺,死亡1;受傷0,普通重型-機車,121.491111,25.059126
107年04月21日 10時40分00秒,新北市林口區文化二路 / 新北市林口區中華一路,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,121.370023,25.072598
107年04月21日 11時00分00秒,屏東縣枋山鄉台一線448.3公里處南向(品味軒休息站前),死亡1;受傷0,自用-小貨車(含客、貨兩用);大型重型1(550C.C.以上)-機車,120.644112,22.296460
107年04月21日 20時24分00秒,臺中市大肚區社腳里沙田路二段2巷前0.0公尺,死亡1;受傷0,自用-小客車;大型重型1(550C.C.以上)-機車,120.552825,24.135894
107年04月22日 04時50分00秒,桃園市新屋區下田里中山西路二段915號對面,死亡1;受傷0,普通重型-機車;營業用-大貨車,121.055838,24.984046
107年04月22日 07時37分00秒,高雄市杉林區山仙路124燈號前0.0公尺南側,死亡1;受傷0,自用-小客車;普通重型-機車,120.542400,22.970980
107年04月22日 19時03分00秒,雲林縣麥寮鄉後安村後安路201之146號前0.0公尺,死亡1;受傷1,電動自行車-慢車;自用-小客車,120.233453,23.784021
107年04月22日 19時20分00秒,臺東縣卑南鄉太平村太平路377號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.084014,22.784344
107年04月23日 00時30分04秒,新竹縣北埔鄉台3線 78.5公里向外側,死亡1;受傷0,普通重型-機車,121.057722,24.702050
107年04月23日 04時37分23秒,臺南市麻豆區國道1號 308公里100.0公尺處南側向路肩,死亡3;受傷1,營業用-大貨車;自用-大貨車;警備車-特種車;其他人-人;其他人-人;其他人-人,120.236161,23.181745
107年04月23日 05時50分00秒,高雄市鼓山區翠華路 / 高雄市鼓山區逢甲路,死亡1;受傷0,自用-小客車;普通重型-機車,120.283607,22.663789
107年04月23日 07時20分00秒,屏東縣林邊鄉成功路4巷與林邊大排一號橋路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.514727,22.434704
107年04月23日 08時50分00秒,臺北市萬華區環河南路2段 / 臺北市萬華區環河南路2段,死亡1;受傷0,自用-小客車;行人-人,121.493253,25.033810
107年04月23日 14時03分32秒,桃園市八德區大發里和平路北側 / 桃園市八德區大發里和成路,死亡1;受傷0,營業用-大貨車;腳踏自行車-慢車,121.321431,24.962825
107年04月23日 14時50分01秒,臺南市新化區國道3號 349公里500.0公尺處南側向中線,死亡1;受傷0,自用-大貨車;其他人-人,120.327439,23.028209
107年04月23日 16時08分00秒,屏東縣滿州鄉食水路段,死亡1;受傷0,遊覽車-大客車;電動自行車-慢車,120.790589,22.008069
107年04月23日 16時10分00秒,桃園市蘆竹區六福路西側 / 桃園市蘆竹區五福一路,死亡1;受傷0,營業用-曳引車;普通輕型-機車,121.295232,25.059011
107年04月23日 17時04分00秒,臺南市六甲區王爺里市道174線前0.0公尺,死亡1;受傷0,自用-半聯結車,120.397926,23.230628
107年04月24日 00時34分00秒,嘉義縣民雄鄉興南村工業一路東側 / 嘉義縣民雄鄉興南村工業五路南側,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.433130,23.519195
107年04月24日 10時34分00秒,彰化縣竹塘鄉竹元村竹鹿路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.413120,23.862836
107年04月24日 14時07分00秒,宜蘭縣五結鄉大興路北側 / 宜蘭縣五結鄉大興路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.780467,24.690382
107年04月24日 19時57分00秒,桃園市蘆竹區南崁路2段南側 / 桃園市蘆竹區南工路,死亡1;受傷0,民營公車-大客車;行人-人,121.277808,25.057507
107年04月25日 07時22分00秒,高雄市鳥松區美山路口 / 高雄市鳥松區美山路口,死亡1;受傷1,普通重型-機車;普通重型-機車,120.379170,22.644428
107年04月25日 18時36分09秒,宜蘭縣五結鄉五結路3段610號前0.0公尺北側,死亡1;受傷0,自用-小客車;行人-人,121.779231,24.682470
107年04月26日 02時20分51秒,臺北市內湖區國道1號 18公里300.0公尺處南側向外側,死亡1;受傷0,自用-小客車;自用-小貨車(含客、貨兩用);計程車-小客車,121.589748,25.065472
107年04月26日 05時42分00秒,屏東縣屏東市前進里建國路西側 / 屏東縣屏東市前進里建國路西側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.463062,22.654258
107年04月26日 08時11分00秒,嘉義縣太保市春珠里台37線13公里700公尺處,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.325069,23.482957
107年04月26日 08時51分00秒,桃園市桃園區三民路二段與自強路口(M107040752青溪所),死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.317009,25.001158
107年04月26日 19時23分00秒,桃園市中壢區新中北路510號前0.0公尺北側,死亡1;受傷0,租賃車-小客車;普通重型-機車,121.247008,24.957130
107年04月27日 18時43分00秒,臺東縣卑南鄉和平路252巷電桿民生137歧13X11旁,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.092984,22.782912
107年04月27日 21時28分00秒,新北市三重區重陽橋機車道路前0.0公尺,死亡1;受傷3,普通重型-機車;普通重型-機車;乘客-人;乘客-人,121.501173,25.084946
107年04月28日 08時25分00秒,新北市板橋區民生路1段 / 新北市板橋區正隆巷道路,死亡1;受傷0,普通重型-機車;普通重型-機車,121.474050,25.015086
107年04月28日 12時45分00秒,南投縣水里鄉農富村縣131線與大灣路88巷口,死亡1;受傷0,普通重型-機車,120.856633,23.824452
107年04月28日 13時19分00秒,高雄市阿蓮區產業道路 / 高雄市阿蓮區產業道路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.317684,22.860932
107年04月28日 15時42分02秒,新竹縣湖口鄉榮光路323號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-曳引車,121.005488,24.861439
107年04月29日 03時38分00秒,臺中市潭子區聚興里環中東路一段588號前0.0公尺,死亡1;受傷0,普通重型-機車,120.718754,24.197023
107年04月30日 07時20分33秒,苗栗縣頭份市中正二路與中正二路131巷口,死亡1;受傷1,普通重型-機車;普通重型-機車,120.947356,24.680348
107年04月30日 08時10分13秒,臺南市西港區營西里後營南45-1公路金砂高幹56電線桿前,死亡1;受傷1,普通重型-機車;普通重型-機車,120.210802,23.143953
107年04月30日 21時29分54秒,新竹市東區中華路一段273號,死亡1;受傷2,普通重型-機車;行人-人;普通重型-機車,120.985787,24.810788
107年05月01日 00時34分00秒,臺南市永康區塩洲里中正南路467號北側,死亡1;受傷1,自用-小客車;行人-人,120.227801,23.032777
107年05月01日 08時09分00秒,臺中市北屯區仁美里崇德路前0.0公尺,死亡1;受傷0,自用-大貨車;腳踏自行車-慢車,120.696033,24.168166
107年05月02日 06時30分00秒,新北市三重區中正北路 / 新北市三重區中正北路,死亡1;受傷0,腳踏自行車-慢車;計程車-小客車,121.493136,25.062532
107年05月02日 07時32分00秒,臺北市士林區仰德大道1段前0.0公尺,死亡1;受傷0,普通重型-機車,121.535354,25.108417
107年05月02日 10時40分57秒,宜蘭縣員山鄉員山路3段331號東側,死亡1;受傷0,大型重型1(550C.C.以上)-機車;自用-大貨車,121.647649,24.707022
107年05月02日 18時40分00秒,臺中市北屯區大坑里東山路二段96之8號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.747541,24.195708
107年05月03日 11時42分00秒,彰化縣大村鄉村上村中山路2段144號前0.0公尺,死亡1;受傷0,電動自行車-慢車;營業用-曳引車,120.567218,23.984357
107年05月03日 16時51分00秒,新北市板橋區華東街 / 新北市板橋區南雅南路2段,死亡1;受傷1,普通重型-機車;行人-人,121.448394,24.995331
107年05月03日 17時00分00秒,臺北市北投區大度路1段 / 臺北市北投區中央北路2段,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.486387,25.121899
107年05月04日 01時06分00秒,南投縣名間鄉大庄村新大巷投赤水幹114分15電桿前,死亡1;受傷0,普通重型-機車,120.665249,23.876784
107年05月04日 02時09分00秒,彰化縣和美鎮仁愛里鹿和路6段 / 彰化縣和美鎮仁愛里和順路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.493753,24.106831
107年05月04日 17時57分00秒,臺南市中西區永福路1段119號前0.0公尺,死亡1;受傷0,普通重型-機車;普通重型-機車,120.200087,22.984527
107年05月05日 01時05分42秒,桃園市大溪區武嶺橋上P02處往桃園方向(O107050031內柵所),死亡1;受傷1,普通重型-機車;普通重型-機車,121.279335,24.874359
107年05月05日 10時00分00秒,臺中市和平區博愛里東關路二段前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);大型重型1(550C.C.以上)-機車,120.943828,24.167926
107年05月05日 23時03分00秒,高雄市鳳山區南京路 / 高雄市鳳山區新富路,死亡1;受傷0,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);乘客-人,120.345500,22.612950
107年05月06日 19時13分00秒,彰化縣芬園鄉茄荖村光華路 / 彰化縣芬園鄉茄荖村光華路,死亡1;受傷1,自用-小客車;普通重型-機車,120.647078,24.012613
107年05月07日 01時04分00秒,新北市淡水區中山北路 / 新北市淡水區新市二路,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,121.444143,25.179109
107年05月07日 11時05分00秒,桃園市龜山區大湖路北側 / 桃園市龜山區大湖一路,死亡1;受傷0,營業用-大貨車;普通重型-機車,121.352651,25.055136
107年05月07日 13時30分00秒,花蓮縣新城鄉大漢村民有街2號前150.0公尺東側,死亡1;受傷0,普通重型-機車,121.616656,24.039986
107年05月07日 14時47分00秒,新北市瑞芳區臺2線道路前0.0公尺,死亡1;受傷1,自用-小客車;自用-小客車,121.842028,25.122113
107年05月08日 00時38分00秒,新北市新店區安康路2段 / 新北市新店區安康路,死亡1;受傷2,普通輕型-機車;普通重型-機車;乘客-人,121.509643,24.958403
107年05月08日 01時50分48秒,臺中市沙鹿區國道3號 181公里300.0公尺處南側向外側,死亡1;受傷0,自用-小客車;營業用-半聯結車;自用-小貨車(含客、貨兩用),120.593726,24.237133
107年05月08日 04時59分21秒,桃園市桃園區南門里漢中路118號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人;普通重型-機車,121.304000,24.981080
107年05月08日 05時26分00秒,新北市板橋區漢生東路 / 新北市板橋區漢生東路,死亡1;受傷0,行人-人;自用-小客車,121.472460,25.011674
107年05月08日 05時26分00秒,臺北市中正區泉州街32號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);腳踏自行車-慢車,121.513500,25.025882
107年05月08日 06時20分00秒,臺南市南區永成路二段627-3號對面,死亡1;受傷0,普通重型-機車,120.195691,22.951557
107年05月08日 14時20分00秒,澎湖縣湖西鄉澎12號道2.4公里處,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),119.617594,23.591318
107年05月08日 18時27分00秒,新竹縣湖口鄉德興路138號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,121.044811,24.908821
107年05月09日 06時25分00秒,高雄市林園區村漁港路 / 高雄市林園區力行路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.400430,22.485786
107年05月09日 08時42分33秒,宜蘭縣大同鄉台7甲線 22公里600.0公尺處,死亡1;受傷0,普通重型-機車;營業用-全聯結車,121.491175,24.577317
107年05月09日 14時15分00秒,臺中市西屯區西安里逄甲路262號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.639488,24.174663
107年05月09日 19時36分00秒,臺中市梧棲區南簡里大智路一段983號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車,120.542188,24.256813
107年05月10日 00時13分26秒,桃園市龜山區國道1號 42公里800.0公尺處北側向外側,死亡1;受傷0,自用-小貨車(含客、貨兩用);營業用-半聯結車,121.355026,25.064302
107年05月10日 01時15分00秒,彰化縣二林鎮後厝里斗苑路3段 / 彰化縣二林鎮後厝里斗苑路3段,死亡1;受傷0,普通重型-機車,120.398456,23.898035
107年05月10日 07時33分40秒,宜蘭縣宜蘭市光復路8號前0.0公尺附近,死亡1;受傷0,普通重型-機車,121.757324,24.754763
107年05月11日 08時44分23秒,新竹縣竹東鎮北興路1段485號前0.0公尺南側,死亡1;受傷0,自用-大貨車;普通重型-機車,121.097698,24.734433
107年05月11日 11時36分35秒,嘉義縣新港鄉潭大村潭子墘25-30號,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.331022,23.540063
107年05月12日 08時16分00秒,嘉義縣大埔鄉台3線 343公里721.0公尺處北側向路肩,死亡1;受傷0,大型重型1(550C.C.以上)-機車,120.589071,23.278817
107年05月12日 11時20分00秒,高雄市大寮區光明路3段 / 高雄市大寮區光明路3段,死亡1;受傷0,自用-小客車;普通重型-機車,120.405101,22.633167
107年05月12日 23時50分00秒,臺南市南化區台20線 42公里400.0公尺處東側向路肩,死亡2;受傷0,普通重型-機車;乘客-人,120.493374,23.076511
107年05月13日 01時01分00秒,新竹縣新豐鄉中崙村1鄰中崙路17-1號前0.0公尺北側,死亡1;受傷0,普通重型-機車,120.993810,24.904320
107年05月13日 21時09分00秒,臺北市大安區前,死亡1;受傷0,自用-小客車;行人-人,121.552553,25.034300
107年05月13日 21時19分00秒,桃園市中壢區仁美里榮民南路東側 / 桃園市中壢區仁美里普忠路口,死亡1;受傷0,行人-人;自用-小客車,121.256915,24.949619
107年05月14日 06時35分00秒,臺中市西區民龍里臺灣大道二段220號前0.0公尺,死亡1;受傷0,普通重型-機車,120.668750,24.152515
107年05月14日 10時04分04秒,臺南市新營區國道1號 294公里700.0公尺處北側向外側,死亡1;受傷0,普通重型-機車,120.286214,23.300949
107年05月14日 13時14分38秒,雲林縣水林鄉車港村產業道路交叉路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.253119,23.607525
107年05月15日 07時45分28秒,花蓮縣光復鄉東富路8-3號前0.0公尺北側,死亡1;受傷0,普通重型-機車,121.462860,23.665454
107年05月15日 11時18分00秒,屏東縣恆春鎮西門路與西門路109巷口,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.743317,22.007907
107年05月15日 12時03分00秒,新竹市北區經國路口 / 新竹市北區鐵道路,死亡1;受傷0,自用-小客車;普通重型-機車,120.980914,24.814786
107年05月15日 13時00分00秒,新北市板橋區縣民大道3段 / 新北市板橋區民生路,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人,121.478973,25.023920
107年05月15日 14時42分44秒,桃園市龜山區長壽路口 / 桃園市龜山區長壽路口,死亡1;受傷2,自用-小客車;普通重型-機車;普通重型-機車;自用-小客車,121.341604,25.001059
107年05月15日 14時43分00秒,雲林縣土庫鎮順天里光復路口 / 雲林縣土庫鎮順天里文化路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.385591,23.676686
107年05月15日 15時50分00秒,臺南市學甲區慈福里濟生路2巷8號旁嘉南大圳學甲分線,死亡1;受傷0,普通重型-機車,120.189461,23.232019
107年05月15日 19時37分00秒,雲林縣虎尾鎮惠來里台1線291823燈桿前,死亡1;受傷0,行人-人;自用-小客車,120.491893,23.736162
107年05月15日 21時36分00秒,臺北市文山區木柵路1段 / 臺北市文山區木柵路1段,死亡1;受傷0,租賃車-小客車;普通重型-機車,121.550245,24.987633
107年05月16日 00時00分00秒,臺中市外埔區大東里甲后路五段89號前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,120.637046,24.342769
107年05月16日 15時57分10秒,臺南市佳里區六安里延平路口 / 臺南市佳里區六安里忠孝路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.178190,23.165385
107年05月16日 18時30分00秒,臺北市士林區忠誠路2段 / 臺北市士林區天母東路,死亡1;受傷1,普通重型-機車;普通重型-機車,121.534731,25.118138
107年05月16日 21時37分00秒,雲林縣口湖鄉下崙村中興路(077306號電桿旁),死亡1;受傷0,普通重型-機車,120.164107,23.619168
107年05月17日 16時05分00秒,高雄市湖內區鐵道巷路 / 高雄市湖內區民族街,死亡1;受傷1,租賃車-小客車;自用-小貨車(含客、貨兩用);普通重型-機車,120.237917,22.884971
107年05月17日 17時48分00秒,雲林縣西螺鎮新吉街,死亡1;受傷0,拼裝車-其他車;行人-人,120.449778,23.782590
107年05月17日 22時24分00秒,屏東縣里港鄉載興路南側 / 屏東縣里港鄉載南路,死亡1;受傷2,自用-小客車;普通重型-機車;乘客-人;乘客-人;乘客-人,120.529522,22.779312
107年05月18日 09時11分20秒,桃園市平鎮區中興路九龍段與東龍街口,死亡1;受傷0,行人-人;自用-小客車,121.247930,24.879491
107年05月18日 14時00分00秒,嘉義市東區芳草里興業東路 / 嘉義市東區芳草里宣信街,死亡1;受傷0,自用-小客車;普通輕型-機車,120.455832,23.469502
107年05月19日 14時00分10秒,臺南市仁德區上崙里臺86往西便道與德崙路口(引道),死亡1;受傷1,營業用-半聯結車;普通重型-機車;乘客-人,120.260679,22.934454
107年05月19日 14時02分00秒,南投縣南投市南崗一路西側 / 南投縣南投市集賢路,死亡1;受傷2,普通重型-機車;大型重型1(550C.C.以上)-機車;乘客-人,120.681744,23.903361
107年05月19日 19時55分00秒,屏東縣屏東市台糖三街近台糖街口,死亡1;受傷0,行人-人;自用-小客車,120.488964,22.663213
107年05月19日 23時59分00秒,桃園市新屋區長祥路與圳禾路口,死亡1;受傷0,自用-小客車;普通重型-機車,121.123569,24.955155
107年05月19日 23時59分47秒,新竹市北區中正路293號北側,死亡1;受傷0,普通重型-機車;自用-小客車,120.963218,24.813444
107年05月20日 06時53分00秒,臺南市安南區台江大道2段東側 / 臺南市安南區北安路3段,死亡1;受傷0,自用-小客車;普通重型-機車,120.213491,23.055862
107年05月20日 16時35分00秒,南投縣南投市八卦路1158之1號北側,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小貨車(含客、貨兩用),120.638088,23.935956
107年05月20日 17時05分00秒,臺南市學甲區宅港里台19線宅港橋北向,死亡1;受傷0,普通重型-機車,120.201230,23.249727
107年05月20日 20時05分00秒,高雄市小港區小港路 / 高雄市小港區大業北路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.345947,22.565566
107年05月20日 22時40分00秒,雲林縣臺西鄉溪頂村溪頂路172號前0.0公尺,死亡1;受傷0,普通重型-機車,120.189060,23.686727
107年05月21日 08時05分00秒,屏東縣東港鎮興農路1-20號,死亡1;受傷0,普通重型-機車,120.472914,22.486317
107年05月21日 16時31分00秒,彰化縣福興鄉福興村柳橋路7段前0.0公尺,死亡1;受傷3,營業用-半聯結車;自用-小客車;自用-大貨車;營業用-半聯結車;乘客-人;乘客-人;乘客-人,120.419533,24.052857
107年05月22日 01時30分00秒,臺北市松山區南京東路4段56號前0.0公尺,死亡2;受傷2,自用-小客車;乘客-人;其他人-人;其他人-人,121.553653,25.050996
107年05月22日 10時25分00秒,苗栗縣銅鑼鄉縣119線 21公里南側向外側,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.796993,24.478889
107年05月22日 14時30分00秒,南投縣國姓鄉柑林村清德巷3號旁溪底,死亡1;受傷0,農耕用車(或機械)-其他車,120.872862,24.056443
107年05月22日 22時45分00秒,臺中市烏日區榮泉里三榮十六路187號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.592824,24.113121
107年05月23日 03時55分30秒,新竹縣新豐鄉新和路128號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.983070,24.916074
107年05月23日 09時00分00秒,臺南市南化區南化里139號前,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用),120.476652,23.042827
107年05月23日 10時13分00秒,臺南市東區中華東路2段226巷27弄70號前0.0公尺西側,死亡1;受傷0,自用-小客車;普通輕型-機車,120.230118,22.983079
107年05月23日 21時59分00秒,苗栗縣頭份市自強路與信東路口,死亡1;受傷0,自用-小客車;乘客-人,120.909941,24.688761
107年05月24日 03時41分38秒,臺南市善化區國道3號 345公里800.0公尺處南側向外側,死亡1;受傷2,營業用-大貨車;營業用-全聯結車;其他人-人;營業用-半聯結車;營業用-大貨車,120.334181,23.137384
107年05月24日 07時40分04秒,桃園市八德區福興里仁德路東側 / 桃園市八德區長興一路,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車,121.282517,24.936048
107年05月25日 14時34分00秒,彰化縣芳苑鄉三成村上城路1-3號前0.0公尺,死亡1;受傷0,自用-大貨車;腳踏自行車-慢車,120.334846,23.882805
107年05月25日 16時39分00秒,臺南市白河區詔豐里頂山腳70號前,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.413357,23.388026
107年05月25日 21時12分00秒,高雄市鳳山區澄清路 / 高雄市鳳山區自由路,死亡1;受傷1,普通重型-機車;普通重型-機車,120.344700,22.624900
107年05月25日 22時57分00秒,彰化縣和美鎮竹園里線東路7段79號前0.0公尺前,死亡1;受傷0,普通重型-機車;自用-小客車,120.529153,24.125142
107年05月26日 07時09分00秒,新北市石碇區北宜公路前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車,121.677618,24.937839
107年05月26日 07時20分00秒,新北市三峽區介壽路1段498號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,121.385773,24.932166
107年05月27日 06時23分45秒,苗栗縣苑裡鎮玉豐一路與玉豐十路路口,死亡1;受傷0,自用-小客車;普通重型-機車;其他人-人,120.683050,24.384743
107年05月27日 11時40分31秒,桃園市龜山區忠義路3段170-1號前0.0公尺附近,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.354347,25.061800
107年05月27日 19時19分00秒,臺南市學甲區台84線 10公里900.0公尺處向內側,死亡1;受傷0,大型重型1(550C.C.以上)-機車;自用-小客車,120.214529,23.234959
107年05月27日 19時29分00秒,屏東縣潮州鎮光春路342之1號,死亡1;受傷0,普通重型-機車;自用-小客車,120.541533,22.532429
107年05月27日 20時57分00秒,彰化縣二水鄉上豊村山腳路2段 / 彰化縣二水鄉上豊村山腳路2段,死亡1;受傷0,普通重型-機車;營業用-大貨車,120.613980,23.821893
107年05月27日 22時20分00秒,臺中市清水區東山里神清路2-161號前0.0公尺,死亡1;受傷0,普通重型-機車,120.638002,24.270782
107年05月28日 18時22分00秒,新竹縣竹東鎮南清公路前32.7公尺附近,死亡1;受傷0,普通重型-機車,121.122535,24.659820
107年05月28日 18時54分00秒,花蓮縣玉里鎮忠勇路東側 / 花蓮縣玉里鎮興國路南側,死亡1;受傷0,普通重型-機車;營業用-曳引車,121.321578,23.328442
107年05月29日 01時03分00秒,屏東縣屏東市高屏大橋,死亡1;受傷1,普通重型-機車;乘客-人,120.439921,22.647479
107年05月29日 06時17分46秒,桃園市大溪區復興路1段口 / 桃園市大溪區復興路1段口,死亡1;受傷1,普通重型-機車;自用-小客車,121.295654,24.865857
107年05月29日 07時00分00秒,雲林縣北港鎮草湖里西湖產業道路與產業道路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.303894,23.599662
107年05月29日 07時56分32秒,雲林縣四湖鄉溪底村160線道12.5公里處,死亡1;受傷1,自用-小客車;腳踏自行車-慢車,120.263536,23.647371
107年05月29日 17時33分30秒,雲林縣西螺鎮埤頭里台1線南下車道路燈252898號,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.477378,23.777727
107年05月30日 14時20分00秒,嘉義縣中埔鄉裕民村24號前 產業道路,死亡1;受傷0,普通重型-機車;自用-大貨車,120.496845,23.433457
